INFO - main.py - 2022-09-04 15:50:50,082 - Using device:cuda
INFO - main.py - 2022-09-04 15:50:50,086 - Writing log file to algorithms/A2C_GAE/logs
INFO - main.py - 2022-09-04 15:50:50,086 - Exp instance id = 8919
INFO - main.py - 2022-09-04 15:50:50,087 - Exp comment = 
INFO - main.py - 2022-09-04 15:50:53,408 - Start Training! Env: CartPole-v0, Algorithm: A2C_GAE
INFO - main.py - 2022-09-04 15:51:16,953 - episode: 266, steps: 12, reward: 12.0
INFO - main.py - 2022-09-04 15:51:16,990 - episode: 267, steps: 8, reward: 8.0
INFO - main.py - 2022-09-04 15:51:17,026 - episode: 268, steps: 9, reward: 9.0
INFO - main.py - 2022-09-04 15:51:17,068 - episode: 269, steps: 11, reward: 11.0
INFO - main.py - 2022-09-04 15:51:17,108 - episode: 270, steps: 10, reward: 10.0
INFO - main.py - 2022-09-04 15:51:17,148 - episode: 271, steps: 10, reward: 10.0
INFO - main.py - 2022-09-04 15:51:17,183 - episode: 272, steps: 9, reward: 9.0
INFO - main.py - 2022-09-04 15:51:17,218 - episode: 273, steps: 9, reward: 9.0
INFO - main.py - 2022-09-04 15:51:17,254 - episode: 274, steps: 9, reward: 9.0
INFO - main.py - 2022-09-04 15:51:17,295 - episode: 275, steps: 9, reward: 9.0
INFO - main.py - 2022-09-04 15:51:17,330 - episode: 276, steps: 9, reward: 9.0
INFO - main.py - 2022-09-04 15:51:17,365 - episode: 277, steps: 9, reward: 9.0
INFO - main.py - 2022-09-04 15:51:17,400 - episode: 278, steps: 9, reward: 9.0
